#,Ticker,Sub_Sector,Category,Issuer,Description,URL
149,PSCD,Small Cap Consumer Discretionary,Thematic,Invesco,"Invesco small cap consumer discretionary ETF covering emerging retail, restaurant, and leisure companies.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PSCD
150,PSCC,Small Cap Consumer Staples,Thematic,Invesco,"Invesco small cap consumer staples ETF targeting smaller food, beverage, and household products companies.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PSCC
151,PSCE,Small Cap Energy,Thematic,Invesco,"Invesco small cap energy ETF covering emerging oil, gas, and clean energy producers and service companies.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PSCE
152,PSCM,Small Cap Materials,Thematic,Invesco,"Invesco small cap materials ETF covering smaller mining, chemical, and materials companies.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PSCM
153,PSCU,Small Cap Utilities,Thematic,Invesco,"Invesco small cap utilities ETF targeting smaller electric, gas, and water utility companies.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PSCU
154,HOMZ,Housing,Thematic,Hoya Capital,"Hoya Capital housing ETF covering homebuilders, home improvement retailers, REITs, and mortgage companies.",https://www.hoyacapital.com/homz
155,PICK,Diversified Metals Mining,Thematic,iShares,"iShares diversified metals and mining ETF covering global producers of copper, iron ore, aluminum, and coal.",https://www.ishares.com/us/products/239741/ISHARES-MSCI-GLOBAL-METALS-MINING-PRODUCERS-ETF
156,CUT,Timber,Thematic,Invesco,"Invesco timber ETF covering global timber producers, paper companies, and forestry REITs.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=CUT
157,ARKK,Disruptive Innovation,Thematic,ARK,"ARK flagship active ETF investing in disruptive innovation across genomics, AI, fintech, and robotics.",https://ark-funds.com/funds/arkk/
158,ARKW,Next Gen Internet,Thematic,ARK,"ARK next generation internet ETF targeting cloud computing, AI, mobile, social platforms, and fintech.",https://ark-funds.com/funds/arkw/
159,XLRE,Real Estate Select Sector,Thematic,SPDR,SPDR real estate select sector ETF tracking all real estate companies in the S&P 500 index.,https://www.ssga.com/us/en/intermediary/etfs/funds/real-estate-select-sector-spdr-fund-xlre
160,SCHH,REITs,Thematic,Schwab,Schwab US REIT ETF providing low-cost exposure to US equity REITs excluding mortgage REITs.,https://www.schwabassetmanagement.com/products/schh
161,QTEC,NASDAQ-100 Tech,Technology,First Trust,First Trust Nasdaq-100 technology ETF covering technology and telecom companies in the Nasdaq-100.,https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=QTEC
162,^GSPC,S&P 500,Index,Market,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/^GSPC
163,^RUT,Russell 2000,Index,Market,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/^RUT
164,XLG,S&P 50,Index,Invesco,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/XLG
165,MGC,S&P 10,Index,Vanguard,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/MGC
166,^DJI,Dow 30,Index,Market,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/^DJI
167,^NDX,Nasdaq 100,Index,Market,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/^NDX
168,MGK,Growth,Large Cap,Vanguard,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/MGK
169,MGV,Value,Large Cap,Vanguard,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/MGV
170,XLK,Information Technology,Sector,SPDR,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/XLK
171,XLC,Communication Services,Sector,SPDR,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/XLC
172,XLB,Materials,Sector,SPDR,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/XLB
173,XLV,Healthcare,Sector,SPDR,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/XLV
174,XLF,Financial,Sector,SPDR,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/XLF
175,XLE,Energy,Sector,SPDR,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/XLE
176,XLY,Consumer Discretionary,Sector,SPDR,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/XLY
177,XLP,Consumer Staples,Sector,SPDR,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/XLP
178,XLI,Industrial,Sector,SPDR,Diversified ETF tracking its respective sub-sector index.,https://finance.yahoo.com/quote/XLI
179,GLD,Gold,Commodity,SPDR,SPDR Gold Shares -- largest gold ETF tracking spot gold price by holding physical gold bars in vaults.,https://www.spdrgoldshares.com/
180,SLV,Silver,Commodity,iShares,iShares Silver Trust tracking spot silver price by holding physical silver bullion in JPMorgan vaults.,https://www.ishares.com/us/products/239855/ISHARES-SILVER-TRUST
181,USO,Oil,Commodity,USCF,US Oil Fund tracking WTI crude oil futures prices as a proxy for spot crude oil price movements.,https://uscfinvestments.com/uso/
182,BTC-USD,BTC-USD,Crypto,Crypto,Bitcoin -- the original decentralized digital currency and largest cryptocurrency by market capitalization.,https://finance.yahoo.com/quote/BTC-USD/
183,ETH-USD,ETH-USD,Crypto,Crypto,Ethereum -- decentralized blockchain platform enabling smart contracts and the second largest cryptocurrency.,https://finance.yahoo.com/quote/ETH-USD/
184,BRK-B,Berkshire Hathaway,Financial,Berkshire,"Berkshire Hathaway Class B shares -- Warren Buffett conglomerate holding insurance, railroads, and major equity stakes.",https://www.berkshirehathaway.com/
185,VTI,Total US Market,Broad Market,Vanguard,"Vanguard Total Stock Market ETF -- tracks the entire US equity market including small, mid, and large-cap stocks.",https://investor.vanguard.com/investment-products/etfs/profile/vti
186,VXUS,Total International,Broad Market,Vanguard,Vanguard Total International Stock ETF -- covers all non-US stocks across developed and emerging markets globally.,https://investor.vanguard.com/investment-products/etfs/profile/vxus
187,VOO,S&P 500,Broad Market,Vanguard,Vanguard S&P 500 ETF -- one of the lowest-cost ways to track the 500 largest US companies by market cap.,https://investor.vanguard.com/investment-products/etfs/profile/voo
188,VUG,US Growth,Broad Market,Vanguard,Vanguard Growth ETF -- tracks US large-cap growth stocks with high earnings growth and premium valuations.,https://investor.vanguard.com/investment-products/etfs/profile/vug
189,BND,Total Bond Market,Fixed Income,Vanguard,Vanguard Total Bond Market ETF -- covers the entire US investment-grade bond market including treasuries and corporate bonds.,https://investor.vanguard.com/investment-products/etfs/profile/bnd
190,QQQ,Nasdaq-100,Broad Market,Invesco,"Invesco QQQ -- tracks the Nasdaq-100 index of 100 largest non-financial Nasdaq-listed companies, heavy in tech.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=QQQ
191,IEMG,Emerging Markets,Broad Market,iShares,"iShares Core MSCI Emerging Markets ETF -- broad low-cost exposure to stocks in China, India, Brazil, and other emerging markets.",https://www.ishares.com/us/products/244050/ISHARES-CORE-MSCI-EMERGING-MARKETS-ETF
192,VGT,Information Technology,Technology,Vanguard,"Vanguard Information Technology ETF -- tracks US technology companies across software, hardware, semiconductors, and IT services.",https://investor.vanguard.com/investment-products/etfs/profile/vgt
